City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2023-01-22 17:19:43,-9.8,-139.0333,78.66,80,99,22.19
1,San Cristobal,VE,2023-01-22 17:19:44,7.7669,-72.225,77.18,43,98,8.19
2,Saint-Philippe,RE,2023-01-22 17:19:44,-21.3585,55.7679,74.79,85,100,5.44
3,Hilo,US,2023-01-22 17:19:44,19.7297,-155.09,73.27,83,40,8.05
4,Albany,US,2023-01-22 17:15:44,42.6001,-73.9662,34.03,75,99,7.07
5,Ushuaia,AR,2023-01-22 17:17:15,-54.8,-68.3,56.86,38,0,10.36
6,Cape Town,ZA,2023-01-22 17:17:22,-33.9258,18.4232,74.1,60,20,24.16
7,Yuncheng,CN,2023-01-22 17:19:45,35.0231,110.9928,30.81,53,63,1.95
8,Micheweni,TZ,2023-01-22 17:19:45,-4.9667,39.8333,80.62,81,100,15.68
9,Shemonaikha,KZ,2023-01-22 17:19:46,50.6328,81.9056,-10.23,91,86,7.02
10,Karlstad,SE,2023-01-22 17:19:46,59.3793,13.5036,21.76,93,100,0.0
11,Vaini,TO,2023-01-22 17:19:46,-21.2,-175.2,73.56,100,20,1.14
12,Hermanus,ZA,2023-01-22 17:19:46,-34.4187,19.2345,72.81,67,40,11.52
13,Mahenge,TZ,2023-01-22 17:19:47,-8.6833,36.7167,65.19,92,98,1.39
14,Vandra,EE,2023-01-22 17:19:47,58.6481,25.0361,22.66,81,100,5.44
15,Sorland,NO,2023-01-22 17:19:48,67.667,12.6934,42.66,84,100,43.04
16,Cherskiy,RU,2023-01-22 17:19:48,68.75,161.3,-36.13,94,100,4.21
17,Castro,BR,2023-01-22 17:19:48,-24.7911,-50.0119,76.66,71,76,7.54
18,Hithadhoo,MV,2023-01-22 17:19:49,-0.6,73.0833,81.23,77,26,14.27
19,Khatanga,RU,2023-01-22 17:19:49,71.9667,102.5,-38.29,88,26,2.24
20,Vardo,NO,2023-01-22 17:19:49,70.3705,31.1107,34.29,83,96,27.54
21,Akyab,MM,2023-01-22 17:19:50,20.15,92.9,69.67,54,24,10.74
22,Klaksvik,FO,2023-01-22 17:19:50,62.2266,-6.589,41.92,65,83,24.58
23,Busselton,AU,2023-01-22 17:19:50,-33.65,115.3333,65.68,85,0,8.59
24,Smidovich,RU,2023-01-22 17:19:51,48.6,133.8167,-37.84,98,16,4.7
25,Kahului,US,2023-01-22 17:19:51,20.8947,-156.47,74.84,77,20,8.99
26,Jamestown,US,2023-01-22 17:19:52,42.097,-79.2353,33.55,61,100,8.05
27,Upernavik,GL,2023-01-22 17:19:52,72.7868,-56.1549,-24.3,66,94,7.67
28,Dingle,PH,2023-01-22 17:19:52,10.9995,122.6711,73.83,93,100,8.23
29,Esmeraldas,BR,2023-01-22 17:19:52,-19.7625,-44.3139,84.31,84,98,6.71
30,Port Elizabeth,ZA,2023-01-22 17:19:53,-33.918,25.5701,75.09,89,100,3.44
31,Coihaique,CL,2023-01-22 17:19:53,-45.5752,-72.0662,68.61,37,20,6.91
32,New Norfolk,AU,2023-01-22 17:19:54,-42.7826,147.0587,59.92,73,67,1.79
33,Bluff,NZ,2023-01-22 17:19:54,-46.6,168.3333,51.44,63,50,8.32
34,Alta Floresta,BR,2023-01-22 17:19:54,-9.8756,-56.0861,79.77,79,99,1.74
35,Rikitea,PF,2023-01-22 17:19:55,-23.1203,-134.9692,79.02,75,6,16.33
36,Punta Arenas,CL,2023-01-22 17:19:55,-53.15,-70.9167,59.11,36,0,13.8
37,Camacha,PT,2023-01-22 17:19:55,33.0833,-16.3333,58.42,72,40,13.8
38,Burgos,ES,2023-01-22 17:19:55,42.3394,-3.7079,32.41,74,40,17.27
39,Georgetown,MY,2023-01-22 17:19:56,5.4112,100.3354,76.95,94,20,3.44
40,Te Anau,NZ,2023-01-22 17:19:56,-45.4167,167.7167,48.45,81,95,3.27
41,Luebo,CD,2023-01-22 17:19:56,-5.35,21.4167,76.75,73,35,2.28
42,Odweyne,SO,2023-01-22 17:19:57,9.4092,45.064,69.35,50,92,9.66
43,Kapaa,US,2023-01-22 17:19:57,22.0752,-159.319,71.92,93,100,6.91
44,Belmonte,BR,2023-01-22 17:19:57,-15.8631,-38.8828,80.98,84,100,10.6
45,Pevek,RU,2023-01-22 17:20:58,69.7008,170.3133,-35.55,98,96,2.51
46,Touros,BR,2023-01-22 17:20:58,-5.1989,-35.4608,85.48,61,43,12.3
47,Qaanaaq,GL,2023-01-22 17:20:58,77.484,-69.3632,-27.78,74,95,5.91
48,Manuk Mangkaw,PH,2023-01-22 17:20:59,4.8,119.85,80.92,74,100,5.5
49,Saint George,US,2023-01-22 17:20:59,37.1041,-113.5841,35.44,61,0,6.91
50,Kieta,PG,2023-01-22 17:20:59,-6.2167,155.6333,78.53,83,100,1.05
51,Yellowknife,CA,2023-01-22 17:21:00,62.456,-114.3525,1.92,85,100,5.75
52,Kaitangata,NZ,2023-01-22 17:21:00,-46.2817,169.8464,45.82,81,79,6.58
53,Aklavik,CA,2023-01-22 17:21:00,68.2191,-135.0107,-2.2,84,100,9.22
54,Sioux Lookout,CA,2023-01-22 17:18:23,50.1001,-91.917,17.67,93,100,5.75
55,Komsomolskiy,UZ,2023-01-22 17:21:01,40.4272,71.7189,23.72,80,100,2.3
56,Constitucion,CL,2023-01-22 17:21:01,-35.3333,-72.4167,73.33,54,3,13.09
57,Carnarvon,AU,2023-01-22 17:21:01,-24.8667,113.6333,74.88,78,2,19.89
58,Darhan,MN,2023-01-22 17:21:02,49.4867,105.9228,-34.13,96,18,3.91
59,Northam,GB,2023-01-22 17:21:02,51.0333,-4.2167,42.62,77,88,9.31
60,Fort Nelson,CA,2023-01-22 17:21:03,58.8053,-122.7002,15.39,92,20,0.0
61,Muridke,PK,2023-01-22 17:21:03,31.8025,74.2617,55.42,39,41,6.69
62,Ponta Do Sol,PT,2023-01-22 17:21:04,32.6667,-17.1,64.13,49,13,6.85
63,Guerrero Negro,MX,2023-01-22 17:21:04,27.9769,-114.0611,58.37,40,0,5.86
64,Arraial Do Cabo,BR,2023-01-22 17:21:05,-22.9661,-42.0278,87.76,61,40,12.66
65,Muros,ES,2023-01-22 17:21:05,42.7762,-9.0603,54.09,59,99,8.34
66,Port Alfred,ZA,2023-01-22 17:21:06,-33.5906,26.891,70.18,95,98,3.0
67,Hami,CN,2023-01-22 17:21:06,42.8,93.45,10.6,34,0,9.69
